DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,UTM_X,UTM_Y,LocQual,Source,Comments
6771,OxA-882,,,6100,120,0,grain (charred),Triticum boeoticum,1060,Abu Hureyra,"Level 324 -basal pit-; Trench E, phase 1, basal pit; Trench E, level 468, pit",settlement,SY,38.3933,35.8683,445228.48,3969511.07,B,Moore et al. 1986 ;CalPal; Flohr et al. 2016,
5075,Ly-12506,,,4070,40,0,charcoal,,6606,Al Rawda,LOCUS 1084 - SECT. 1,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5076,Ly-12507,,,4090,35,0,seed,,6606,Al Rawda,LOCUS 1115 - SECT. 1,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5077,Ly-12508,,,3990,40,0,seed,,6606,Al Rawda,LOCUS 2036 - SECT. 2 A,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5078,Ly-12509,,,3990,40,0,seed,,6606,Al Rawda,LOCUS 2049 - SECT. 2 A,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5079,Ly-12510,,,4020,40,0,seed,,6606,Al Rawda,LOCUS 2063 - SECT. 2 A,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5080,Ly-12511,,,3785,40,0,seed,,6606,Al Rawda,LOCUS 4037 - SECT. 4,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5193,Ly-4853,,,3860,35,0,charcoal,,6606,Al Rawda,,settlement,SY,37.633,35.181,375530.29,3893971.18,A,Schwartz 2017,
5295,Lyon-3471,,,3860,35,0,charcoal,,6606,Al Rawda,LOC.1448-E 118-SECT. 1,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5296,Lyon-3472,,,3935,35,0,charcoal,,6606,Al Rawda,LOC.2254-SECT. 2 C,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5297,Lyon-3473,,,3940,40,0,charcoal,,6606,Al Rawda,LOC.2273-SECT. 2 C,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5298,Lyon-3474,,,3880,35,0,charcoal,,6606,Al Rawda,LOC.2294-SECT. 2 C,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
5299,Lyon-3475,,,3820,35,0,charcoal,,6606,Al Rawda,LOC.3132-SALLE E 2,settlement,SY,37.633,35.181,375530.29,3893971.18,A,BANADORA,
6627,OxA-572,,,4730,100,0,bone,,10417,Arjoune,Tr.VI,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal,
6628,OxA-573,,,5650,100,0,bone (charred),,10417,Arjoune,Tr.VI; Trench VI,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
6629,OxA-574,,,6440,90,0,bone (charred),,10417,Arjoune,Tr.VII; Trench VII,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
6632,OxA-577,,,6480,130,0,bone,Homo sapiens,10417,Arjoune,Tr.VII; Trench VII,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
6722,OxA-816,,,5810,80,0,grain (charred),Cerealia,10417,Arjoune,Tr.VI; Trench VI,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
6723,OxA-817,,,5850,80,0,grain (charred),Cerealia,10417,Arjoune,Tr.VI; Trench VI,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
6724,OxA-818,,,5450,80,0,bone,Sus,10417,Arjoune,Tr.VI; Trench VI,settlement,SY,36.55,34.55,275191.78,3825868.48,B,CalPal; Flohr et al. 2016,
4300,IAAA-103842,,,4120,30,0,soot,,303478,Beilune,tomb,cemetery,SY,39.531399,35.751419,548043.8,3956507.93,A,Nishiaki 2019,
4301,IAAA-110032,,,2590,20,0,bone,Homo sapiens,303478,Beilune,tomb,cemetery,SY,39.531399,35.751419,548043.8,3956507.93,A,Nishiaki 2019,
4642,KIA-49181,KIK-7108,,5445,30,-21.5,bone,Homo sapiens,10674,Chagar Bazar,depth: 200 cm; Chantier H. Grave T.17,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Cruells 2008; CalPal,
4663,KIK-5717,,,3370,30,-18.68,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4664,KIK-5808,,,3375,30,-19.83,bone,animal,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4671,KIK-7108,KIA-49181,,5445,30,-21.5,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4672,KIK-7109,,,3375,25,-20.12,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4673,KIK-7110,,,3635,25,-19.6,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4674,KIK-7139,,,3395,30,-23.05,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4675,KIK-7140,,,3770,30,-19,bone,Homo sapiens,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4676,KIK-7393,,,3865,35,-26.19,charcoal,,10674,Chagar Bazar,,settlement,SY,40.897942,36.875971,669154.04,4082795.15,A,Strydonck and De Roock  2011,
4801,LE-1,,,6030,240,0,charcoal,,18844,Dja'de el-Mughara,niv. IV,settlement,SY,38.18,36.65,426705.85,4056359.97,B,Stuckenrath and Ralph 1965; Benz 2014; Flohr et al. 2016,
4866,LT-386A,,,3652,35,-21,fruit (charred),,5701,Ebla,,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,CalPal,
4885,LTL-12319A,,,3927,35,0,wood,Pomoideae,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
4886,LTL-12320A,,,3855,45,0,grain,Hordeum vulgare,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
4887,LTL-12322A,,,3809,45,0,grain,Hordeum vulgare,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
4888,LTL-12323A,,,3942,40,0,grain,Cerealia,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
4889,LTL-12324A,,,3857,45,0,seeds,Cannaceae,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
4890,LTL-12326A,,,3833,45,0,olive stone,Olea,5701,Ebla,Royal Palace G Level IIB1,settlement,SY,36.7979,35.7981,301009.7,3963792.58,A,Calcagnile et al. 2013,
